node,length,cov
1,2305,4145.678187
2,1272,3882.978243
3,1193,2.482975
4,1097,1088.601961
5,1060,4.83825
6,1053,2561.344262
7,1040,5.488058
8,912,4.628743
9,873,3469.262563
10,759,2163.749267
11,754,4.323486
12,689,9.117647
13,672,76.752941
14,663,8.076792
15,662,77.786325
16,651,15.601045
17,618,139.325323
18,618,15.600739
19,603,186.996198
20,598,348.75048
21,592,1.168932
22,582,13.142574
23,574,1.309859
24,572,359.329293
25,563,183.858025
26,560,8.602484
27,559,128.259336
28,551,82.772152
29,547,0.976596
30,539,48.614719
31,514,24.368421
32,481,12.40099
33,479,1.88806
34,477,3.805
35,457,1.776316
36,451,25.561497
37,419,6.944444
38,409,2.003012
39,407,0.930303
40,403,0.96319
41,384,1.736156
42,373,48.114865
43,372,8.589831
44,363,1.548951
45,359,2.457447
46,352,12.007273
47,352,1.501818
48,347,0.751852
49,344,22.895131
50,331,1.748031
51,329,1.460317
52,327,3.888
53,323,21.617886
54,321,14.979508
55,310,1.583691
56,303,86.464602
57,303,8.287611
58,299,1.166667
59,297,2.645455
60,297,1.145455
61,284,1.84058
62,279,4.341584
63,279,0.732673
64,278,0.726368
65,277,0.74
66,277,0.74
67,276,1.487437
68,275,2.969697
69,275,0.747475
70,274,7.654822
71,274,2.253807
72,273,1.056122
73,272,0.758974
74,271,0.762887
75,270,2.290155
76,270,1.533679
77,270,0.766839
78,268,3.120419
79,267,35.805263
80,267,0.778947
81,267,0.778947
82,265,6.212766
83,263,3.182796
84,262,5.589189
85,261,3.483696
86,261,1.048913
87,261,0.804348
88,260,1.617486
89,260,0.803279
90,259,1.175824
91,255,1.393258
92,254,46.79661
93,251,0.850575
94,250,1.699422
95,250,0.855491
96,247,0.870588
97,246,0.87574
98,244,0.874251
99,242,1.333333
100,242,0.89697
101,241,9.25
102,241,1.804878
103,241,0.902439
104,240,11.380368
105,240,0.907975
106,240,0.907975
107,239,0.91358
108,238,1.416149
109,237,1.31875
110,237,0.925
111,234,0.942675
112,232,25.670968
113,231,0.961039
114,231,0.961039
115,230,7.202614
116,229,0.973684
117,201,12.5
118,171,832.553191
119,164,31.908046
120,158,115.876543
121,154,33.935065
122,153,38.894737
123,152,36.946667
124,151,42.432432
125,151,28.689189
126,150,137.452055
127,150,26.986301
128,149,125.902778
129,149,33.819444
130,149,26.541667
131,149,25.569444
132,148,273.943662
133,148,144.211268
134,148,33.253521
135,148,30.422535
136,147,42.071429
137,147,27.071429
138,146,102.869565
139,146,101.826087
140,146,27.811594
141,146,26.188406
142,145,109.014706
143,144,29.014925
144,142,2747.261538
145,140,4.047619
146,134,1006.122807
147,134,1.912281
148,127,254.96
149,125,2.25
150,123,8.478261
151,122,22.022222
152,118,3.609756
153,116,3.794872
154,115,2.263158
155,93,9.3125
156,88,7.090909
157,82,104
158,78,32780
159,78,263